symbol,entry_date,exit_date,exit_reason,entry,exit,qty,pnl
HAVELLS.NS,2016-03-21,2016-03-31,target,294.2471,319.4143,4,100.67
POWERGRID.NS,2016-03-31,2016-04-01,stop,78.9864,77.7830,1,-1.20
DABUR.NS,2016-03-31,2016-04-05,stop,249.6748,245.6771,2,-8.00
POWERGRID.NS,2016-04-05,2016-04-20,target,79.0426,83.1563,7,28.80
BHARATFORG.NS,2016-04-20,2016-04-21,stop,420.2100,404.8975,1,-15.31
EICHERMOT.NS,2016-03-21,2016-04-21,target,1856.4000,2066.3429,10,2099.43
BHARATFORG.NS,2016-04-22,2016-04-25,stop,414.9074,402.6985,51,-622.65
WIPRO.NS,2016-04-27,2016-04-29,stop,104.6773,103.1109,1,-1.57
NMDC.NS,2016-05-03,2016-05-04,stop,25.3652,24.2001,5,-5.83
CANBK.NS,2016-05-10,2016-05-11,stop,38.0600,36.7663,1,-1.29
POWERGRID.NS,2016-05-09,2016-05-11,stop,80.6747,78.9917,1,-1.68
MOTHERSON.NS,2016-03-30,2016-05-17,target,30.7614,36.2214,8,43.68
TORNTPHARM.NS,2016-03-31,2016-05-20,stop,686.3430,662.4436,1,-23.90
TATASTEEL.NS,2016-05-12,2016-05-23,stop,31.6467,30.3914,3,-3.77
NTPC.NS,2016-05-23,2016-05-30,target,114.5572,121.0799,1,6.52
HINDALCO.NS,2016-05-30,2016-05-31,target,100.0000,103.1000,1,3.10
BEL.NS,2016-06-01,2016-06-02,stop,36.3515,35.2061,4,-4.58
IDEA.NS,2016-06-02,2016-06-03,stop,71.3367,68.3164,1,-3.02
GLENMARK.NS,2016-04-25,2016-06-06,stop,820.0000,782.3087,25,-942.28
SUZLON.NS,2016-05-10,2016-06-10,target,13.6882,15.8240,1,2.14
MARICO.NS,2016-06-06,2016-06-13,stop,255.3776,249.3253,76,-459.98
TATASTEEL.NS,2016-06-03,2016-06-13,stop,32.7741,31.2783,4,-5.98
DRREDDY.NS,2016-06-13,2016-06-16,stop,618.9193,609.6950,30,-276.73
UPL.NS,2016-06-14,2016-06-16,stop,393.3333,377.5112,1,-15.82
CANBK.NS,2016-06-15,2016-06-21,target,38.6825,41.8841,3,9.60
MOTHERSON.NS,2016-05-26,2016-06-21,target,32.4440,36.9116,1,4.47
M&MFIN.NS,2016-06-21,2016-06-24,stop,196.5055,185.9257,1,-10.58
ITC.NS,2016-05-20,2016-06-28,target,215.0301,235.9935,3,62.89
JSWSTEEL.NS,2016-05-17,2016-06-29,target,130.1200,143.5187,2,26.80
PETRONET.NS,2016-06-07,2016-07-01,target,136.6683,150.6147,1,13.95
BAJFINANCE.NS,2016-06-28,2016-07-11,target,77.6495,83.7428,2,12.19
TATAPOWER.NS,2016-07-01,2016-07-12,stop,74.0000,72.5637,2,-2.87
MARICO.NS,2016-06-16,2016-07-13,target,255.5277,275.3121,73,1444.26
NTPC.NS,2016-06-27,2016-07-15,stop,125.0208,119.0417,1,-5.98
M&MFIN.NS,2016-07-19,2016-07-20,stop,202.8463,195.5909,2,-14.51
BEL.NS,2016-07-26,2016-07-27,stop,37.9584,37.1345,2,-1.65
MOTHERSON.NS,2016-07-13,2016-08-02,target,35.7182,41.9601,560,3495.49
GAIL.NS,2016-06-29,2016-08-03,stop,71.8015,70.1087,4,-6.77
M&MFIN.NS,2016-08-02,2016-08-03,stop,209.7359,199.8807,101,-995.37
BHARTIARTL.NS,2016-08-04,2016-08-05,stop,330.9268,326.1821,69,-327.39
BEL.NS,2016-08-05,2016-08-08,stop,38.1403,37.4146,591,-428.86
PIDILITIND.NS,2016-08-08,2016-08-10,stop,367.0000,358.3208,60,-520.75
M&MFIN.NS,2016-08-10,2016-08-11,stop,205.4487,200.2856,105,-542.13
SUNPHARMA.NS,2016-08-12,2016-08-16,stop,819.2094,784.8074,25,-860.05
TITAN.NS,2016-08-17,2016-08-18,stop,408.0039,399.4002,48,-412.98
ONGC.NS,2016-07-20,2016-08-19,target,148.4075,161.7535,2,26.69
HDFCBANK.NS,2016-06-28,2016-08-24,target,293.1215,315.9235,2,45.60
TITAN.NS,2016-08-24,2016-08-25,stop,407.7037,401.3992,1,-6.30
NESTLEIND.NS,2016-08-22,2016-08-30,stop,338.1590,334.8325,1,-3.33
KOTAKBANK.NS,2016-07-11,2016-08-31,target,150.3752,159.5419,1,9.17
M&MFIN.NS,2016-08-25,2016-08-31,target,203.3747,217.0968,3,41.17
SHRIRAMFIN.NS,2016-08-30,2016-08-31,stop,246.4981,241.0513,1,-5.45
SAIL.NS,2016-08-30,2016-09-07,target,48.7000,52.5421,2,7.68
UNIONBANK.NS,2016-08-18,2016-09-07,target,133.7168,148.3525,144,2107.53
PNB.NS,2016-08-31,2016-09-08,target,127.6638,142.4532,8,118.32
SAIL.NS,2016-09-07,2016-09-08,target,48.8244,52.5000,3,11.03
CHOLAFIN.NS,2016-09-07,2016-09-12,stop,223.2716,212.5537,93,-996.77
HINDUNILVR.NS,2016-09-08,2016-09-12,stop,940.2199,921.8388,2,-36.76
ITC.NS,2016-08-12,2016-09-27,stop,243.5467,237.2881,2,-12.52
LTF.NS,2016-09-15,2016-09-29,stop,85.0084,81.0654,3,-11.83
NHPC.NS,2016-08-10,2016-09-29,stop,25.7129,24.8875,1,-0.83
NMDC.NS,2016-09-27,2016-09-29,stop,27.3645,26.3513,19,-19.25
HAVELLS.NS,2016-09-29,2016-09-30,stop,425.0124,406.0000,1,-19.01
JSWSTEEL.NS,2016-09-29,2016-09-30,stop,178.5000,167.2000,1,-11.30
LTF.NS,2016-09-29,2016-09-30,stop,86.6369,80.7804,2,-11.71
RECLTD.NS,2016-10-03,2016-10-21,target,91.2000,104.0055,8,102.44
MOTHERSON.NS,2016-10-24,2016-10-26,stop,40.7236,39.5238,1,-1.20
HCLTECH.NS,2016-09-12,2016-10-27,stop,394.9474,386.3068,54,-466.59
PIDILITIND.NS,2016-10-28,2016-11-01,stop,358.9294,354.8225,4,-16.43
SBIN.NS,2016-11-01,2016-11-02,stop,258.9294,253.8730,1,-5.06
PIDILITIND.NS,2016-11-01,2016-11-02,stop,362.7000,354.8725,3,-23.48
ZYDUSLIFE.NS,2016-10-28,2016-11-04,stop,410.0049,388.8055,47,-996.37
OIL.NS,2016-11-08,2016-11-09,stop,137.0685,133.3000,143,-538.90
KOTAKBANK.NS,2016-10-28,2016-11-09,stop,164.2821,155.7600,1,-8.52
SAIL.NS,2016-10-21,2016-11-09,stop,49.7749,46.0500,16,-59.60
KOTAKBANK.NS,2016-11-09,2016-11-15,stop,163.1415,158.7206,118,-521.67
RECLTD.NS,2016-11-09,2016-11-15,stop,96.1606,93.6656,8,-19.96
OIL.NS,2016-11-16,2016-11-17,stop,137.5688,135.5655,141,-282.46
CANBK.NS,2016-11-16,2016-11-21,stop,62.7189,59.9828,1,-2.74
RECLTD.NS,2016-11-18,2016-11-21,stop,99.4247,94.6402,192,-918.63
HINDZINC.NS,2016-11-21,2016-11-24,target,251.4757,278.0676,72,1914.62
BEL.NS,2016-11-23,2016-11-30,target,39.6744,43.3856,1,3.71
ALKEM.NS,2016-11-24,2016-12-01,stop,1720.5598,1669.1650,11,-565.34
CANBK.NS,2016-12-01,2016-12-02,stop,62.4639,60.3717,11,-23.01
RECLTD.NS,2016-11-25,2016-12-15,stop,101.1881,95.8875,10,-53.01
PETRONET.NS,2016-12-01,2016-12-21,stop,196.5000,185.4073,90,-998.35
NHPC.NS,2016-12-16,2016-12-22,stop,27.1136,26.3868,36,-26.16
TATASTEEL.NS,2016-11-29,2016-12-22,stop,39.5386,37.8523,2,-3.37
GAIL.NS,2016-12-21,2016-12-23,stop,81.1343,79.4603,205,-343.18
NMDC.NS,2016-12-06,2016-12-26,stop,31.7065,30.5639,22,-25.14
OIL.NS,2016-11-21,2017-01-05,target,140.3535,156.8782,1,16.52
NHPC.NS,2017-01-03,2017-01-12,target,27.0000,29.6815,3,8.04
NHPC.NS,2017-01-25,2017-01-27,target,27.9500,29.3105,1,1.36
NTPC.NS,2016-12-26,2017-01-27,target,134.9424,146.9296,133,1594.29
IDEA.NS,2017-01-27,2017-01-30,target,46.3915,53.1982,2,13.61
BHARTIARTL.NS,2017-01-27,2017-02-20,target,295.3093,338.7478,66,2866.94
BPCL.NS,2017-02-20,2017-03-01,stop,227.9306,221.5725,98,-623.09
ASHOKLEY.NS,2017-03-01,2017-03-02,stop,45.7250,44.4528,5,-6.36
M&MFIN.NS,2017-03-06,2017-03-07,stop,177.3610,174.0425,1,-3.32
BEL.NS,2017-03-07,2017-03-16,target,46.6667,50.2758,4,14.44
PFC.NS,2017-01-06,2017-03-20,target,103.3316,117.9660,1,14.63
NHPC.NS,2017-03-10,2017-03-27,target,30.0650,31.5695,1,1.50
MOTHERSON.NS,2017-02-02,2017-03-29,target,41.0395,46.4504,2,10.82
TATASTEEL.NS,2017-03-29,2017-03-30,stop,46.0068,45.4228,2,-1.17
BEL.NS,2017-03-27,2017-03-30,stop,47.8118,46.5676,1,-1.24
TATASTEEL.NS,2017-03-30,2017-03-31,stop,46.2213,45.7323,2,-0.98
GAIL.NS,2017-03-23,2017-04-07,target,92.9965,97.2136,1,4.22
TATASTEEL.NS,2017-04-03,2017-04-12,stop,46.3166,45.6180,3,-2.10
BIOCON.NS,2017-04-12,2017-04-13,stop,186.2431,183.7414,1,-2.50
PETRONET.NS,2017-03-16,2017-04-18,target,196.2981,221.8223,1,25.52
POWERGRID.NS,2017-01-12,2017-04-19,target,107.7164,118.9159,1,11.20
GAIL.NS,2017-04-17,2017-04-20,target,96.1606,102.9250,2,13.53
TATAPOWER.NS,2017-04-19,2017-04-20,stop,86.3432,84.0579,4,-9.14
WIPRO.NS,2017-04-20,2017-04-21,stop,93.7125,91.8853,3,-5.48
NESTLEIND.NS,2017-04-20,2017-04-21,stop,318.7093,315.4547,1,-3.25
NHPC.NS,2017-04-21,2017-05-09,stop,31.6158,30.9845,18,-11.36
NHPC.NS,2017-05-09,2017-05-10,stop,31.6658,31.1500,18,-9.28
ITC.NS,2017-03-01,2017-05-19,target,256.2635,284.6135,84,2381.40
NESTLEIND.NS,2017-05-19,2017-05-24,stop,329.3646,325.0374,72,-311.56
WIPRO.NS,2017-05-10,2017-05-26,target,95.6259,101.9949,6,38.21
UPL.NS,2017-05-24,2017-06-20,target,528.9310,594.5662,44,2887.95
BHARTIARTL.NS,2017-06-20,2017-06-22,stop,332.5048,327.2180,78,-412.37
BHARTIARTL.NS,2017-06-22,2017-06-23,stop,332.0088,328.3440,77,-282.19
JSWSTEEL.NS,2017-06-20,2017-06-23,stop,200.4000,193.7531,1,-6.65
HCLTECH.NS,2017-06-23,2017-06-27,stop,427.7388,421.2893,59,-380.52
HCLTECH.NS,2017-06-27,2017-06-28,stop,429.2145,419.2500,58,-577.94
PETRONET.NS,2017-05-25,2017-07-03,stop,217.3336,211.4692,1,-5.86
WIPRO.NS,2017-07-11,2017-07-14,stop,100.9067,97.5450,1,-3.36
NHPC.NS,2017-07-14,2017-07-17,stop,32.1160,31.3843,3,-2.20
BHARTIARTL.NS,2017-06-28,2017-07-18,target,338.9520,374.5035,72,2559.71
BAJFINANCE.NS,2017-06-29,2017-07-20,target,137.9000,160.3247,1,22.42
HCLTECH.NS,2017-07-18,2017-07-28,stop,435.2175,421.7390,2,-26.96
LT.NS,2017-07-18,2017-07-28,stop,1183.0912,1159.4200,22,-520.77
POWERGRID.NS,2017-07-03,2017-07-31,target,118.7750,125.5858,1,6.81
IDFCFIRSTB.NS,2017-07-31,2017-08-01,stop,60.7804,59.1204,2,-3.32
ASIANPAINT.NS,2017-07-28,2017-08-02,stop,1153.5765,1135.4820,22,-398.08
COLPAL.NS,2017-07-31,2017-08-02,stop,1084.9422,1062.0687,1,-22.87
DLF.NS,2017-08-03,2017-08-04,stop,195.5477,188.5000,15,-105.72
TATAPOWER.NS,2017-08-01,2017-08-04,stop,82.9415,81.0594,1,-1.88
SAIL.NS,2017-08-07,2017-08-10,stop,62.1811,60.0200,4,-8.64
KOTAKBANK.NS,2017-07-24,2017-08-16,stop,200.9200,193.9830,1,-6.94
DABUR.NS,2017-08-04,2017-08-23,stop,307.6000,297.0514,9,-94.94
M&M.NS,2017-05-26,2017-09-08,stop,669.5096,649.6750,1,-19.83
ASHOKLEY.NS,2017-08-29,2017-09-11,target,53.1516,58.5849,4,21.73
POWERGRID.NS,2017-08-14,2017-09-11,stop,124.0933,118.6875,1,-5.41
NTPC.NS,2017-09-11,2017-09-15,stop,142.3211,139.8051,2,-5.03
SAIL.NS,2017-09-08,2017-09-15,stop,63.1315,61.2693,10,-18.62
HEROMOTOCO.NS,2017-08-03,2017-09-25,stop,3840.7194,3741.5282,6,-595.15
PIDILITIND.NS,2017-08-24,2017-09-25,stop,414.1820,401.7490,6,-74.60
COALINDIA.NS,2017-09-25,2017-10-10,target,256.5282,285.0617,96,2739.22
HDFCBANK.NS,2017-10-10,2017-10-11,stop,451.3380,448.2758,3,-9.19
M&MFIN.NS,2017-10-13,2017-10-16,stop,259.7006,256.3105,1,-3.39
HINDZINC.NS,2017-08-16,2017-10-17,target,283.3000,324.4850,1,41.19
PETRONET.NS,2017-09-26,2017-10-17,target,229.7148,261.8278,1,32.11
ONGC.NS,2017-09-15,2017-10-18,target,163.9819,174.7005,6,64.31
INDUSINDBK.NS,2017-10-10,2017-10-19,stop,1714.5068,1681.8586,15,-489.72
M&MFIN.NS,2017-10-17,2017-10-19,stop,267.6571,255.9753,2,-23.36
HDFCBANK.NS,2017-10-12,2017-10-25,stop,453.9644,447.9384,3,-18.08
AMBUJACEM.NS,2017-10-24,2017-10-26,stop,284.0000,277.6111,90,-575.00
BEL.NS,2017-10-16,2017-10-31,target,57.4954,62.1276,4,18.53
EICHERMOT.NS,2017-10-27,2017-11-01,stop,3186.2373,3142.0581,2,-88.36
LTF.NS,2017-11-01,2017-11-02,stop,188.8610,185.0002,33,-127.41
AMBUJACEM.NS,2017-10-30,2017-11-07,stop,280.1400,276.3118,1,-3.83
M&MFIN.NS,2017-10-31,2017-11-07,stop,262.4230,256.8285,1,-5.59
