symbol,entry_date,exit_date,exit_reason,entry,exit,qty,pnl
M&M.NS,2016-03-21,2016-04-01,stop,614.5000,597.2013,2,-34.60
DABUR.NS,2016-04-04,2016-04-05,stop,251.9259,246.2768,4,-22.60
POWERGRID.NS,2016-04-05,2016-04-20,target,79.0426,83.1563,15,61.70
BHARATFORG.NS,2016-04-20,2016-04-21,stop,420.2100,404.8975,2,-30.63
EICHERMOT.NS,2016-03-21,2016-04-21,target,1856.4000,2066.3429,10,2099.43
BHARATFORG.NS,2016-04-22,2016-04-25,stop,414.9074,402.6985,52,-634.86
HINDZINC.NS,2016-04-27,2016-05-04,stop,173.8869,167.7661,4,-24.48
NMDC.NS,2016-05-03,2016-05-04,stop,25.3652,24.2001,2,-2.33
CANBK.NS,2016-05-10,2016-05-11,stop,38.0600,36.7663,3,-3.88
MOTHERSON.NS,2016-03-30,2016-05-17,target,30.7614,36.2214,6,32.76
TATASTEEL.NS,2016-05-12,2016-05-23,stop,31.6467,30.3914,3,-3.77
NTPC.NS,2016-05-23,2016-05-30,target,114.5572,121.0799,1,6.52
HINDALCO.NS,2016-05-30,2016-05-31,target,100.0000,103.1000,1,3.10
ASHOKLEY.NS,2016-06-01,2016-06-02,stop,55.0000,52.0750,2,-5.85
IDEA.NS,2016-06-02,2016-06-03,stop,71.3367,68.3164,1,-3.02
INFY.NS,2016-05-05,2016-06-03,target,597.5750,637.9789,1,40.40
GLENMARK.NS,2016-04-25,2016-06-06,stop,820.0000,782.3087,25,-942.28
SUZLON.NS,2016-05-10,2016-06-10,target,13.6882,15.8240,1,2.14
MARICO.NS,2016-06-03,2016-06-13,stop,253.1265,249.2753,3,-11.55
GAIL.NS,2016-05-25,2016-06-13,stop,70.5353,68.5219,1,-2.01
TATASTEEL.NS,2016-06-07,2016-06-13,stop,32.4760,31.2783,3,-3.59
DRREDDY.NS,2016-06-13,2016-06-16,stop,618.9193,609.6950,1,-9.22
IOC.NS,2016-06-16,2016-06-17,stop,69.9183,69.1321,8,-6.29
CANBK.NS,2016-06-15,2016-06-21,target,38.6825,41.8841,8,25.61
GAIL.NS,2016-06-17,2016-06-22,stop,72.2813,70.2867,3,-5.98
TATAPOWER.NS,2016-06-21,2016-06-23,stop,75.3500,72.4138,2,-5.87
M&MFIN.NS,2016-06-21,2016-06-24,stop,196.5055,185.9257,1,-10.58
ULTRACEMCO.NS,2016-06-07,2016-06-24,stop,3261.3799,3206.2462,5,-275.67
JSWSTEEL.NS,2016-05-17,2016-06-29,target,130.1200,143.5187,1,13.40
GRASIM.NS,2016-06-27,2016-06-30,target,667.0770,713.1607,24,1106.01
TITAN.NS,2016-06-17,2016-06-30,target,372.7363,402.2011,1,29.46
PETRONET.NS,2016-06-07,2016-07-01,target,136.6683,150.6147,23,320.77
HAVELLS.NS,2016-07-01,2016-07-08,stop,363.4816,355.0724,9,-75.68
TATAPOWER.NS,2016-07-01,2016-07-12,stop,74.0000,72.5637,2,-2.87
NTPC.NS,2016-06-27,2016-07-15,stop,125.0208,119.0417,4,-23.92
M&MFIN.NS,2016-06-30,2016-07-22,stop,199.4707,189.0335,1,-10.44
BEL.NS,2016-07-26,2016-07-27,stop,37.9584,37.1345,2,-1.65
HDFCBANK.NS,2016-06-30,2016-08-01,target,293.4216,314.6505,59,1252.50
UNIONBANK.NS,2016-07-26,2016-08-01,stop,132.8164,125.5872,1,-7.23
BHARATFORG.NS,2016-08-01,2016-08-02,stop,384.1920,373.0884,2,-22.21
MOTHERSON.NS,2016-07-13,2016-08-02,target,35.7182,41.9601,6,37.45
APOLLOHOSP.NS,2016-08-01,2016-08-03,stop,1373.1862,1340.3295,13,-427.14
GAIL.NS,2016-06-29,2016-08-03,stop,71.8015,70.1087,3,-5.08
M&MFIN.NS,2016-08-02,2016-08-03,stop,209.7359,199.8807,5,-49.28
BHARTIARTL.NS,2016-08-04,2016-08-05,stop,330.9268,326.1821,56,-265.70
BEL.NS,2016-08-05,2016-08-08,stop,38.1403,37.4146,484,-351.22
PIDILITIND.NS,2016-08-08,2016-08-10,stop,367.0000,358.3208,49,-425.28
M&MFIN.NS,2016-08-10,2016-08-11,stop,205.4487,200.2856,86,-444.03
ONGC.NS,2016-07-20,2016-08-19,target,148.4075,161.7535,3,40.04
NESTLEIND.NS,2016-08-22,2016-08-30,stop,338.1590,334.8325,1,-3.33
KOTAKBANK.NS,2016-07-11,2016-08-31,target,150.3752,159.5419,21,192.50
SHRIRAMFIN.NS,2016-08-30,2016-08-31,stop,246.4981,241.0513,1,-5.45
PNB.NS,2016-08-30,2016-09-06,target,123.9000,131.6415,1,7.74
OIL.NS,2016-08-12,2016-09-07,target,122.6000,131.2854,1,8.69
PNB.NS,2016-09-06,2016-09-07,target,127.3500,136.0528,2,17.41
SAIL.NS,2016-09-07,2016-09-08,target,48.8244,52.5000,3,11.03
CHOLAFIN.NS,2016-09-07,2016-09-12,stop,223.2716,212.5537,1,-10.72
MARICO.NS,2016-08-31,2016-09-12,stop,288.3941,283.5582,12,-58.03
ITC.NS,2016-08-12,2016-09-27,stop,243.5467,237.2881,70,-438.10
LTF.NS,2016-09-15,2016-09-29,stop,85.0084,81.0654,3,-11.83
NHPC.NS,2016-08-10,2016-09-29,stop,25.7129,24.8875,2,-1.65
NMDC.NS,2016-09-27,2016-09-29,stop,27.3645,26.3513,607,-615.06
HAVELLS.NS,2016-09-29,2016-09-30,stop,425.0124,406.0000,37,-703.46
JSWSTEEL.NS,2016-09-29,2016-09-30,stop,178.5000,167.2000,2,-22.60
LTF.NS,2016-09-29,2016-09-30,stop,86.6369,80.7804,2,-11.71
BANKBARODA.NS,2016-08-23,2016-10-13,stop,162.8814,155.0225,1,-7.86
RECLTD.NS,2016-10-03,2016-10-21,target,91.2000,104.0055,170,2176.94
HCLTECH.NS,2016-09-12,2016-10-27,stop,394.9474,386.3068,9,-77.77
BEL.NS,2016-10-03,2016-11-01,target,38.0311,40.5069,1,2.48
MOTHERSON.NS,2016-10-28,2016-11-02,stop,40.4502,39.0323,1,-1.42
ZYDUSLIFE.NS,2016-10-28,2016-11-04,stop,410.0049,388.8055,8,-169.60
OIL.NS,2016-11-08,2016-11-09,stop,137.0685,133.3000,23,-86.68
KOTAKBANK.NS,2016-10-28,2016-11-09,stop,164.2821,155.7600,1,-8.52
SAIL.NS,2016-10-21,2016-11-09,stop,49.7749,46.0500,358,-1333.51
KOTAKBANK.NS,2016-11-09,2016-11-15,stop,163.1415,158.7206,20,-88.42
RECLTD.NS,2016-11-09,2016-11-15,stop,96.1606,93.6656,171,-426.63
OIL.NS,2016-11-16,2016-11-17,stop,137.5688,135.5655,139,-278.45
CANBK.NS,2016-11-16,2016-11-21,stop,62.7189,59.9828,2,-5.47
RECLTD.NS,2016-11-18,2016-11-21,stop,99.4247,94.6402,189,-904.28
HINDZINC.NS,2016-11-21,2016-11-24,target,251.4757,278.0676,71,1888.02
BEL.NS,2016-11-23,2016-11-30,target,39.6744,43.3856,1,3.71
ALKEM.NS,2016-11-24,2016-12-01,stop,1720.5598,1669.1650,11,-565.34
CANBK.NS,2016-12-01,2016-12-02,stop,62.4639,60.3717,10,-20.92
GAIL.NS,2016-11-30,2016-12-15,stop,80.9625,78.1203,1,-2.84
RECLTD.NS,2016-11-25,2016-12-15,stop,101.1881,95.8875,8,-42.40
TATASTEEL.NS,2016-12-05,2016-12-20,stop,39.2628,38.5094,16,-12.06
PETRONET.NS,2016-12-01,2016-12-21,stop,196.5000,185.4073,90,-998.35
NHPC.NS,2016-12-16,2016-12-22,stop,27.1136,26.3868,32,-23.26
GAIL.NS,2016-12-21,2016-12-23,stop,81.1343,79.4603,206,-344.85
