symbol,entry_date,exit_date,exit_reason,entry,exit,qty,pnl
M&M.NS,2016-03-21,2016-04-01,stop,614.5000,597.2013,2,-34.60
DABUR.NS,2016-04-04,2016-04-05,stop,251.9259,246.2768,4,-22.60
POWERGRID.NS,2016-04-05,2016-04-20,target,79.0426,83.1563,15,61.70
BHARATFORG.NS,2016-04-20,2016-04-21,stop,420.2100,404.8975,2,-30.63
EICHERMOT.NS,2016-03-21,2016-04-21,target,1856.4000,2066.3429,10,2099.43
BHARATFORG.NS,2016-04-22,2016-04-25,stop,414.9074,402.6985,52,-634.86
HINDZINC.NS,2016-04-27,2016-05-04,stop,173.8869,167.7661,4,-24.48
NMDC.NS,2016-05-03,2016-05-04,stop,25.3652,24.2001,2,-2.33
CANBK.NS,2016-05-10,2016-05-11,stop,38.0600,36.7663,1,-1.29
POWERGRID.NS,2016-05-09,2016-05-11,stop,80.6747,78.9917,1,-1.68
MOTHERSON.NS,2016-03-30,2016-05-17,target,30.7614,36.2214,6,32.76
TATASTEEL.NS,2016-05-12,2016-05-23,stop,31.6467,30.3914,3,-3.77
NHPC.NS,2016-05-26,2016-05-30,target,22.4112,23.8889,1,1.48
NTPC.NS,2016-05-20,2016-05-30,target,113.3900,121.3662,1,7.98
HINDALCO.NS,2016-05-30,2016-05-31,target,100.0000,103.1000,1,3.10
BEL.NS,2016-06-01,2016-06-02,stop,36.3515,35.2061,4,-4.58
IDEA.NS,2016-06-02,2016-06-03,stop,71.3367,68.3164,2,-6.04
INFY.NS,2016-05-05,2016-06-03,target,597.5750,637.9789,1,40.40
GLENMARK.NS,2016-04-25,2016-06-06,stop,820.0000,782.3087,25,-942.28
MARICO.NS,2016-06-03,2016-06-13,stop,253.1265,249.2753,3,-11.55
GAIL.NS,2016-05-25,2016-06-13,stop,70.5353,68.5219,1,-2.01
DRREDDY.NS,2016-06-13,2016-06-16,stop,618.9193,609.6950,1,-9.22
CANBK.NS,2016-06-15,2016-06-21,target,38.6825,41.8841,1,3.20
GAIL.NS,2016-06-16,2016-06-22,stop,71.1919,70.0244,1,-1.17
TATAPOWER.NS,2016-06-21,2016-06-23,stop,75.3500,72.4138,1,-2.94
ULTRACEMCO.NS,2016-06-07,2016-06-24,stop,3261.3799,3206.2462,6,-330.80
JSWSTEEL.NS,2016-05-17,2016-06-29,target,130.1200,143.5187,1,13.40
GRASIM.NS,2016-06-27,2016-06-30,target,667.0770,713.1607,29,1336.43
PETRONET.NS,2016-06-14,2016-07-01,target,137.5938,148.5500,1,10.96
TATAPOWER.NS,2016-07-01,2016-07-12,stop,74.0000,72.5637,2,-2.87
MARICO.NS,2016-06-16,2016-07-13,target,255.5277,275.3121,2,39.57
M&MFIN.NS,2016-06-30,2016-07-22,stop,199.4707,189.0335,1,-10.44
KOTAKBANK.NS,2016-07-25,2016-07-26,stop,153.0565,150.5747,1,-2.48
BEL.NS,2016-07-26,2016-07-27,stop,37.9584,37.1345,1,-0.82
HDFCBANK.NS,2016-06-30,2016-08-01,target,293.4216,314.6505,70,1486.02
UNIONBANK.NS,2016-07-26,2016-08-01,stop,132.8164,125.5872,1,-7.23
MOTHERSON.NS,2016-07-13,2016-08-02,target,35.7182,41.9601,19,118.60
GAIL.NS,2016-06-29,2016-08-03,stop,71.8015,70.1087,2,-3.39
M&MFIN.NS,2016-08-02,2016-08-03,stop,209.7359,199.8807,4,-39.42
ONGC.NS,2016-08-03,2016-08-17,target,148.0073,158.5534,7,73.82
TITAN.NS,2016-08-17,2016-08-18,stop,408.0039,399.4002,2,-17.21
UNIONBANK.NS,2016-08-18,2016-09-07,target,133.7168,148.3525,8,117.09
SAIL.NS,2016-09-07,2016-09-08,target,48.8244,52.5000,2,7.35
CHOLAFIN.NS,2016-09-07,2016-09-12,stop,223.2716,212.5537,5,-53.59
NHPC.NS,2016-09-22,2016-09-23,stop,26.6133,26.3368,1,-0.28
LTF.NS,2016-09-15,2016-09-29,stop,85.0084,81.0654,4,-15.77
NMDC.NS,2016-09-27,2016-09-29,stop,27.3645,26.3513,1,-1.01
LTF.NS,2016-09-29,2016-09-30,stop,86.6369,80.7804,3,-17.57
RECLTD.NS,2016-10-03,2016-10-21,target,91.2000,104.0055,3,38.42
HCLTECH.NS,2016-09-12,2016-10-27,stop,394.9474,386.3068,2,-17.28
PIDILITIND.NS,2016-10-28,2016-11-01,stop,358.9294,354.8225,1,-4.11
BEL.NS,2016-10-03,2016-11-01,target,38.0311,40.5069,1,2.48
SBIN.NS,2016-11-01,2016-11-02,stop,258.9294,253.8730,1,-5.06
ZYDUSLIFE.NS,2016-10-28,2016-11-04,stop,410.0049,388.8055,1,-21.20
OIL.NS,2016-11-08,2016-11-09,stop,137.0685,133.3000,5,-18.84
KOTAKBANK.NS,2016-08-01,2016-11-09,target,153.3066,165.6320,144,1774.86
SAIL.NS,2016-10-21,2016-11-09,stop,49.7749,46.0500,7,-26.07
IDFCFIRSTB.NS,2016-11-11,2016-11-15,stop,75.3877,73.3633,1,-2.02
KOTAKBANK.NS,2016-11-09,2016-11-15,stop,163.1415,158.7206,150,-663.14
RECLTD.NS,2016-11-09,2016-11-15,stop,96.1606,93.6656,4,-9.98
OIL.NS,2016-11-16,2016-11-17,stop,137.5688,135.5655,176,-352.57
DRREDDY.NS,2016-11-18,2016-11-21,stop,648.8000,630.9044,4,-71.58
RECLTD.NS,2016-11-18,2016-11-21,stop,99.4247,94.6402,209,-999.97
HINDZINC.NS,2016-11-21,2016-11-24,target,251.4757,278.0676,90,2393.27
BEL.NS,2016-11-23,2016-11-30,target,39.6744,43.3856,1,3.71
ALKEM.NS,2016-11-24,2016-12-01,stop,1720.5598,1669.1650,14,-719.53
CANBK.NS,2016-12-01,2016-12-02,stop,62.4639,60.3717,91,-190.39
RECLTD.NS,2016-11-25,2016-12-15,stop,101.1881,95.8875,9,-47.71
PETRONET.NS,2016-12-01,2016-12-21,stop,196.5000,185.4073,90,-998.35
NHPC.NS,2016-12-16,2016-12-22,stop,27.1136,26.3868,31,-22.53
TATASTEEL.NS,2016-11-29,2016-12-22,stop,39.5386,37.8523,1,-1.69
GAIL.NS,2016-12-21,2016-12-23,stop,81.1343,79.4603,205,-343.18
NMDC.NS,2016-12-06,2016-12-26,stop,31.7065,30.5639,175,-199.96
OIL.NS,2016-11-21,2017-01-05,target,140.3535,156.8782,1,16.52
NHPC.NS,2017-01-03,2017-01-12,target,27.0000,29.6815,1,2.68
NHPC.NS,2017-01-25,2017-01-27,target,27.9500,29.3105,3,4.08
NTPC.NS,2016-12-26,2017-01-27,target,134.9424,146.9296,167,2001.85
IDEA.NS,2017-01-27,2017-01-30,target,46.3915,53.1982,21,142.94
BHARTIARTL.NS,2017-01-27,2017-02-20,target,295.3093,338.7478,80,3475.08
BPCL.NS,2017-02-20,2017-03-01,stop,227.9306,221.5725,119,-756.61
ASHOKLEY.NS,2017-03-01,2017-03-02,stop,45.7250,44.4528,5,-6.36
M&MFIN.NS,2017-03-06,2017-03-07,stop,177.3610,174.0425,1,-3.32
BEL.NS,2017-03-07,2017-03-16,target,46.6667,50.2758,4,14.44
PFC.NS,2017-01-06,2017-03-20,target,103.3316,117.9660,1,14.63
NHPC.NS,2017-03-10,2017-03-27,target,30.0650,31.5695,1,1.50
MOTHERSON.NS,2017-02-02,2017-03-29,target,41.0395,46.4504,3,16.23
TATASTEEL.NS,2017-03-29,2017-03-30,stop,46.0068,45.4228,3,-1.75
BEL.NS,2017-03-27,2017-03-30,stop,47.8118,46.5676,1,-1.24
TATASTEEL.NS,2017-03-30,2017-03-31,stop,46.2213,45.7323,3,-1.47
