symbol,entry_date,exit_date,exit_reason,entry,exit,qty,pnl
HAVELLS.NS,2016-03-21,2016-03-31,target,294.3942,319.2546,4,98.71
POWERGRID.NS,2016-03-31,2016-04-01,stop,79.0259,77.7441,1,-1.33
DABUR.NS,2016-03-31,2016-04-05,stop,249.7996,245.5543,2,-8.79
POWERGRID.NS,2016-04-05,2016-04-20,target,79.0822,83.1147,7,27.89
BHARATFORG.NS,2016-04-20,2016-04-21,stop,420.4201,404.6950,1,-15.97
EICHERMOT.NS,2016-03-21,2016-04-21,target,1857.3282,2065.3097,10,2068.05
BHARATFORG.NS,2016-04-22,2016-04-25,stop,415.1148,402.4972,51,-656.01
IDFCFIRSTB.NS,2016-04-06,2016-04-28,stop,50.9255,48.9011,1,-2.05
NMDC.NS,2016-05-03,2016-05-04,stop,25.3779,24.1880,3,-3.61
POWERGRID.NS,2016-05-09,2016-05-11,stop,80.7150,78.9523,1,-1.81
MOTHERSON.NS,2016-03-30,2016-05-17,target,30.7767,36.2032,7,37.84
TORNTPHARM.NS,2016-03-31,2016-05-20,stop,686.6862,662.1124,1,-24.98
TATASTEEL.NS,2016-05-12,2016-05-23,stop,31.6625,30.3762,2,-2.61
GLENMARK.NS,2016-04-25,2016-06-06,stop,820.4100,781.9175,25,-974.33
MARICO.NS,2016-06-06,2016-06-13,stop,255.5053,249.2006,76,-490.66
GAIL.NS,2016-05-25,2016-06-13,stop,70.5706,68.4877,1,-2.12
DRREDDY.NS,2016-06-13,2016-06-16,stop,619.2287,609.3902,30,-306.22
UPL.NS,2016-06-14,2016-06-16,stop,393.5300,377.3224,1,-16.44
ITC.NS,2016-05-20,2016-06-28,target,215.1377,235.8755,3,61.81
JSWSTEEL.NS,2016-05-17,2016-06-29,target,130.1851,143.4469,2,26.36
PETRONET.NS,2016-06-07,2016-07-01,target,136.7366,150.5394,1,13.72
BAJFINANCE.NS,2016-06-28,2016-07-11,target,77.6883,83.7010,1,5.96
TATAPOWER.NS,2016-07-01,2016-07-12,stop,74.0370,72.5274,2,-3.11
MARICO.NS,2016-06-16,2016-07-13,target,255.6555,275.1745,73,1413.26
M&MFIN.NS,2016-07-19,2016-07-20,stop,202.9477,195.4931,2,-15.15
BEL.NS,2016-07-26,2016-07-27,stop,37.9773,37.1159,1,-0.88
MOTHERSON.NS,2016-07-13,2016-08-02,target,35.7360,41.9391,555,3429.79
GAIL.NS,2016-06-29,2016-08-03,stop,71.8374,70.0737,4,-7.23
M&MFIN.NS,2016-08-02,2016-08-03,stop,209.8408,199.7808,100,-1018.28
BEL.NS,2016-08-05,2016-08-08,stop,38.1593,37.3959,3,-2.36
ONGC.NS,2016-07-20,2016-08-19,target,148.4817,161.6727,3,39.29
HDFCBANK.NS,2016-06-28,2016-08-24,target,293.2681,315.7656,2,44.63
TITAN.NS,2016-08-24,2016-08-25,stop,407.9076,401.1985,1,-6.95
NESTLEIND.NS,2016-08-22,2016-08-30,stop,338.3281,334.6651,1,-3.86
KOTAKBANK.NS,2016-08-03,2016-08-31,target,152.7526,162.2947,147,1388.78
M&MFIN.NS,2016-08-25,2016-08-31,target,203.4764,216.9882,3,40.16
