symbol,entry_date,exit_date,exit_reason,entry,exit,qty,pnl
HAVELLS.NS,2016-03-21,2016-03-31,target,294.3942,319.2546,4,98.21
POWERGRID.NS,2016-03-31,2016-04-01,stop,79.0259,77.7441,1,-1.36
DABUR.NS,2016-03-31,2016-04-05,stop,249.7996,245.5543,2,-8.99
POWERGRID.NS,2016-04-05,2016-04-20,target,79.0822,83.1147,7,27.66
BHARATFORG.NS,2016-04-20,2016-04-21,stop,420.4201,404.6950,1,-16.14
EICHERMOT.NS,2016-03-21,2016-04-21,target,1857.3282,2065.3097,10,2060.20
BHARATFORG.NS,2016-04-22,2016-04-25,stop,415.1148,402.4972,51,-664.35
NMDC.NS,2016-05-03,2016-05-04,stop,25.3779,24.1880,2,-2.43
CANBK.NS,2016-05-10,2016-05-11,stop,38.0790,36.7480,1,-1.37
MOTHERSON.NS,2016-03-30,2016-05-17,target,30.7767,36.2032,7,37.75
TORNTPHARM.NS,2016-03-31,2016-05-20,stop,686.6862,662.1124,1,-25.25
TATASTEEL.NS,2016-05-12,2016-05-23,stop,31.6625,30.3762,1,-1.32
GLENMARK.NS,2016-04-25,2016-06-06,stop,820.4100,781.9175,25,-982.34
SUZLON.NS,2016-05-10,2016-06-10,target,13.6951,15.8161,2,4.21
MARICO.NS,2016-06-06,2016-06-13,stop,255.5053,249.2006,76,-498.34
CANBK.NS,2016-06-10,2016-06-13,stop,38.8964,37.6132,1,-1.32
TATASTEEL.NS,2016-06-07,2016-06-13,stop,32.4922,31.2627,3,-3.78
DRREDDY.NS,2016-06-13,2016-06-16,stop,619.2287,609.3902,30,-313.59
UPL.NS,2016-06-14,2016-06-16,stop,393.5300,377.3224,1,-16.59
CANBK.NS,2016-06-15,2016-06-21,target,38.7018,41.8632,2,6.24
MOTHERSON.NS,2016-05-26,2016-06-21,target,32.4602,36.8932,1,4.40
TATAPOWER.NS,2016-06-21,2016-06-23,stop,75.3877,72.3776,1,-3.08
ITC.NS,2016-05-20,2016-06-28,target,215.1377,235.8755,3,61.54
JSWSTEEL.NS,2016-05-17,2016-06-29,target,130.1851,143.4469,2,26.25
BAJFINANCE.NS,2016-06-28,2016-07-11,target,77.6883,83.7010,3,17.80
