symbol,entry_date,exit_date,exit_reason,entry,exit,qty,pnl
INFY.NS,2018-03-21,2018-03-23,stop,585.5851,573.2133,1,-12.72
MOTHERSON.NS,2018-05-14,2018-05-18,stop,62.4925,59.8838,2,-5.29
LTF.NS,2018-05-31,2018-06-01,stop,161.7690,156.6605,1,-5.20
GODREJCP.NS,2018-03-23,2018-06-26,target,725.6918,788.9244,1,62.78
INDIANB.NS,2018-07-06,2018-07-13,stop,341.8416,335.1646,1,-6.88
BAJAJFINSV.NS,2018-07-04,2018-07-18,target,590.4901,640.6349,1,49.78
M&M.NS,2018-07-24,2018-07-27,stop,914.3069,903.0962,1,-11.76
M&M.NS,2018-07-31,2018-08-02,stop,935.9352,911.1382,1,-25.35
DRREDDY.NS,2018-08-03,2018-08-23,target,448.0377,496.6731,2,96.70
TECHM.NS,2018-03-21,2018-08-31,target,635.9354,750.1096,30,3412.75
GAIL.NS,2018-08-31,2018-09-04,stop,126.6265,121.3119,185,-996.96
PIDILITIND.NS,2018-09-06,2018-09-12,stop,573.0726,554.4701,39,-738.69
PNB.NS,2018-09-17,2018-09-18,stop,83.3833,81.9680,1,-1.46
TATASTEEL.NS,2018-09-26,2018-10-01,stop,60.9609,57.4425,1,-3.55
ONGC.NS,2018-09-14,2018-10-04,stop,170.9708,166.0338,127,-639.84
DRREDDY.NS,2018-10-11,2018-10-12,stop,503.3129,490.7089,42,-541.89
WIPRO.NS,2018-10-15,2018-10-23,stop,120.1013,115.9465,171,-722.58
WIPRO.NS,2018-10-29,2018-11-05,stop,121.0585,118.1034,164,-496.40
WIPRO.NS,2018-11-07,2018-11-09,stop,122.6914,120.2921,158,-390.60
AUROPHARMA.NS,2018-11-15,2018-12-06,stop,785.7852,765.1843,24,-505.59
CANBK.NS,2018-12-11,2018-12-18,target,49.2893,54.2025,375,1830.81
HINDPETRO.NS,2018-12-19,2018-12-21,target,157.2453,165.0486,129,994.16
DLF.NS,2018-12-27,2019-01-03,stop,179.9298,171.6282,20,-168.14
PIDILITIND.NS,2019-01-03,2019-01-07,stop,558.5581,551.0985,6,-46.76
ICICIGI.NS,2018-12-27,2019-01-23,stop,882.8822,834.5148,20,-977.65
ICICIBANK.NS,2019-01-07,2019-01-25,stop,369.1689,357.6920,9,-105.25
DABUR.NS,2019-01-23,2019-01-28,stop,434.7845,422.7769,38,-466.06
GODREJCP.NS,2019-01-25,2019-01-28,stop,795.7952,775.3741,4,-83.57
PFC.NS,2019-02-07,2019-02-11,stop,82.7227,79.9999,235,-651.31
RECLTD.NS,2019-02-14,2019-02-15,stop,92.3423,89.3106,203,-626.49
PFC.NS,2019-02-19,2019-03-05,target,84.1241,92.0263,216,1695.47
INDUSTOWER.NS,2019-03-06,2019-03-11,target,297.2971,316.9200,66,1282.95
TECHM.NS,2019-03-15,2019-03-26,stop,795.7952,774.2252,26,-573.07
HINDPETRO.NS,2019-04-10,2019-04-23,stop,172.1720,164.5353,3,-23.21
TATASTEEL.NS,2019-05-07,2019-05-08,stop,54.5222,52.6923,1,-1.86
IOC.NS,2019-04-25,2019-05-09,stop,102.8695,100.1997,4,-10.92
ITC.NS,2019-05-13,2019-05-14,stop,290.4166,280.0682,1,-10.52
SBIN.NS,2019-05-15,2019-05-23,target,317.0668,358.5922,1,41.32
HCLTECH.NS,2019-03-28,2019-07-05,stop,528.7033,509.4901,38,-741.94
BANKBARODA.NS,2019-07-10,2019-07-15,stop,126.8134,122.6273,152,-647.66
DLF.NS,2019-07-16,2019-07-18,stop,188.5384,183.0668,5,-27.92
FEDERALBNK.NS,2019-06-26,2019-07-18,stop,104.6546,100.7492,1,-3.97
BAJAJHLDNG.NS,2019-07-16,2019-07-19,stop,3542.5399,3497.2001,5,-237.26
CANBK.NS,2019-07-10,2019-07-19,stop,55.4354,53.2367,1,-2.23
