ticker,entry_date,exit_date,entry_price,exit_price,return_pct,days_held,action,exit_reason
BAJFINANCE.NS,2018-01-08,2018-01-17,177.26,165.09,-6.86,9.0,,signal
RELIANCE.NS,2018-01-23,2018-02-05,430.69,394.91,-8.31,13.0,,stop_loss
LT.NS,2018-01-23,2018-02-07,1247.35,1215.42,-2.56,15.0,,signal
TECHM.NS,2018-01-25,2018-02-20,457.49,435.16,-4.88,26.0,,signal
TECHM.NS,2018-03-15,2018-04-05,485.64,466.35,-3.97,21.0,,signal
TITAN.NS,2018-04-12,2018-05-15,954.96,899.3,-5.83,33.0,,signal
RELIANCE.NS,2018-04-25,2018-05-18,430.09,417.7,-2.88,23.0,,signal
M&M.NS,2018-04-18,2018-05-22,755.53,764.08,1.13,34.0,,signal
TECHM.NS,2018-05-25,2018-05-30,541.08,513.12,-5.17,5.0,,signal
TCS.NS,2018-04-13,2018-06-07,1293.46,1428.43,10.44,55.0,,signal
HDFCBANK.NS,2018-04-23,2018-06-19,461.74,475.48,2.98,57.0,,signal
BAJAJFINSV.NS,2018-06-25,2018-07-02,617.88,584.0,-5.48,7.0,,signal
HINDUNILVR.NS,2018-05-17,2018-07-20,1386.47,1469.52,5.99,64.0,,signal
KOTAKBANK.NS,2018-06-01,2018-07-23,262.03,264.75,1.04,52.0,,signal
BAJFINANCE.NS,2018-07-23,2018-09-05,265.37,267.33,0.74,44.0,,signal
M&M.NS,2018-08-13,2018-09-05,884.39,871.28,-1.48,23.0,,signal
TCS.NS,2018-07-12,2018-09-14,1642.91,1696.0,3.23,64.0,,signal
RELIANCE.NS,2018-08-01,2018-09-19,529.35,544.29,2.82,49.0,,signal
INFY.NS,2018-06-18,2018-10-10,528.51,592.64,12.13,114.0,,signal
RELIANCE.NS,2018-11-30,2018-12-12,521.3,488.71,-6.25,12.0,,signal
ASIANPAINT.NS,2019-03-27,2019-04-11,1410.63,1331.03,-5.64,15.0,,signal
AXISBANK.NS,2019-04-01,2019-04-24,776.74,750.63,-3.36,23.0,,signal
TCS.NS,2019-04-16,2019-05-14,1766.55,1779.04,0.71,28.0,,signal
UPL.NS,2019-02-26,2019-06-19,523.31,627.89,19.98,113.0,,signal
KOTAKBANK.NS,2019-09-23,2019-10-31,313.69,315.47,0.57,38.0,,signal
NESTLEIND.NS,2019-10-23,2019-11-13,702.43,656.7,-6.51,21.0,,signal
ASIANPAINT.NS,2019-09-23,2019-11-14,1611.75,1690.96,4.91,52.0,,signal
BPCL.NS,2019-10-04,2019-11-26,174.76,163.21,-6.61,53.0,,signal
BAJFINANCE.NS,2019-09-23,2019-12-02,373.34,398.26,6.68,70.0,,signal
BAJAJFINSV.NS,2019-11-05,2019-12-10,877.53,888.5,1.25,35.0,,signal
RELIANCE.NS,2019-11-20,2019-12-27,695.66,683.11,-1.8,37.0,,signal
ASIANPAINT.NS,2019-12-19,2020-01-07,1691.72,1627.24,-3.81,19.0,,signal
ICICIBANK.NS,2019-11-27,2020-01-08,497.04,499.07,0.41,42.0,,signal
NESTLEIND.NS,2019-12-23,2020-01-08,690.91,663.13,-4.02,16.0,,signal
BAJAJFINSV.NS,2020-01-30,2020-02-04,989.62,915.43,-7.5,5.0,,signal
ASIANPAINT.NS,2020-02-05,2020-02-25,1796.53,1748.4,-2.68,20.0,,signal
BAJFINANCE.NS,2020-01-30,2020-03-03,436.27,431.01,-1.21,33.0,,signal
NESTLEIND.NS,2020-02-04,2020-03-03,766.32,753.72,-1.64,28.0,,signal
BHARTIARTL.NS,2020-02-06,2020-03-03,511.46,500.9,-2.07,26.0,,signal
HINDUNILVR.NS,2020-02-13,2020-03-03,2038.6,1962.6,-3.73,19.0,,signal
BRITANNIA.NS,2020-07-21,2020-08-17,3612.29,3459.63,-4.23,27.0,,signal
RELIANCE.NS,2020-07-23,2020-09-02,908.65,948.58,4.39,41.0,,signal
SUNPHARMA.NS,2020-08-31,2020-09-02,529.0,493.95,-6.63,2.0,,signal
CIPLA.NS,2020-09-21,2020-10-21,776.58,743.4,-4.27,30.0,,signal
HEROMOTOCO.NS,2020-09-30,2020-10-23,2639.38,2558.49,-3.06,23.0,,signal
DRREDDY.NS,2020-09-17,2020-10-26,911.69,970.61,6.46,39.0,,signal
INFY.NS,2020-09-15,2020-10-30,853.11,943.7,10.62,45.0,,signal
HCLTECH.NS,2020-10-14,2020-11-04,718.93,648.91,-9.74,21.0,,signal
HINDALCO.NS,2020-12-07,2020-12-23,243.49,223.27,-8.3,16.0,,signal
DRREDDY.NS,2020-12-08,2021-01-19,978.75,986.11,0.75,42.0,,signal
TATASTEEL.NS,2020-11-27,2021-01-25,49.07,56.04,14.21,59.0,,signal
CIPLA.NS,2020-12-15,2021-01-25,760.25,783.08,3.0,41.0,,signal
JSWSTEEL.NS,2020-11-27,2021-01-27,342.01,360.28,5.34,61.0,,signal
INFY.NS,2020-12-24,2021-01-29,1100.31,1132.31,2.91,36.0,,signal
ADANIPORTS.NS,2021-01-21,2021-03-19,545.4,657.56,20.57,57.0,,signal
TATASTEEL.NS,2021-03-04,2021-03-19,64.65,60.5,-6.42,15.0,,signal
