ticker,entry_date,exit_date,entry_price,exit_price,return_pct,days_held,action,exit_reason,still_open
NAUKRI.NS,2020-10-15,2020-10-21,738.16,685.25,-7.17,6.0,,signal,
TATAELXSI.NS,2020-10-23,2020-11-12,1546.19,1430.7,-7.47,20.0,,signal,
IPCALAB.NS,2020-10-28,2020-11-12,1159.48,1005.34,-13.29,15.0,,signal,
NAVINFLUOR.NS,2020-10-30,2020-12-15,2254.17,2471.77,9.65,46.0,,signal,
TATACOMM.NS,2020-10-20,2020-12-22,866.15,880.46,1.65,63.0,,signal,
ALKYLAMINE.NS,2020-11-09,2020-12-23,1307.39,1466.16,12.14,44.0,,signal,
CGPOWER.NS,2020-11-14,2020-12-23,37.19,39.02,4.91,39.0,,signal,
ATGL.NS,2020-11-18,2021-01-18,302.06,361.53,19.69,61.0,,signal,
DIXON.NS,2020-12-15,2021-01-27,2617.21,2777.95,6.14,43.0,,signal,
PERSISTENT.NS,2020-12-24,2021-01-28,695.9,722.21,3.78,35.0,,signal,
ATUL.NS,2020-12-24,2021-01-29,6464.9,6238.63,-3.5,36.0,,signal,
AUROPHARMA.NS,2021-01-27,2021-02-02,967.88,900.42,-6.97,6.0,,signal,
ASHOKLEY.NS,2021-02-03,2021-02-23,61.71,56.02,-9.22,20.0,,signal,
TATAELXSI.NS,2020-12-24,2021-02-26,1708.44,2538.8,48.6,64.0,,signal,
HAVELLS.NS,2021-01-29,2021-03-02,1146.02,1086.92,-5.16,32.0,,signal,
HINDZINC.NS,2021-03-03,2021-03-16,208.76,196.51,-5.87,13.0,,signal,
KAJARIACER.NS,2021-01-20,2021-03-19,733.21,898.66,22.56,58.0,,signal,
TATACOMM.NS,2021-03-03,2021-03-19,1174.75,1074.99,-8.49,16.0,,signal,
ASTRAL.NS,2021-02-04,2021-03-25,1103.45,1170.74,6.1,49.0,,signal,
SUNDRMFAST.NS,2021-03-16,2021-03-26,729.18,685.58,-5.98,10.0,,signal,
CGPOWER.NS,2021-03-04,2021-04-23,57.99,65.44,12.86,50.0,,signal,
PERSISTENT.NS,2021-04-09,2021-04-23,968.99,903.21,-6.79,14.0,,signal,
THERMAX.NS,2021-04-28,2021-05-17,1453.1,1377.45,-5.21,19.0,,signal,
ATGL.NS,2021-03-23,2021-06-17,831.91,1322.92,59.02,86.0,,signal,
ALKYLAMINE.NS,2021-04-27,2021-06-25,2753.02,3494.37,26.93,59.0,,signal,
POLYCAB.NS,2021-05-17,2021-07-16,1576.89,1866.12,18.34,60.0,,signal,
LAURUSLABS.NS,2021-04-07,2021-07-26,398.84,639.23,60.27,110.0,,signal,
TTML.NS,2021-06-28,2021-07-26,40.5,35.9,-11.36,28.0,,signal,
ALKYLAMINE.NS,2021-07-26,2021-08-24,4032.1,3933.99,-2.43,29.0,,signal,
JSWENERGY.NS,2021-07-16,2021-08-25,184.28,211.25,14.64,40.0,,signal,
MAXHEALTH.NS,2021-08-31,2021-09-28,358.82,360.76,0.54,28.0,,signal,
LINDEINDIA.NS,2021-08-24,2021-10-20,2038.9,2480.92,21.68,57.0,,signal,
OIL.NS,2021-09-29,2021-10-22,122.73,116.71,-4.91,23.0,,signal,
TATAELXSI.NS,2021-04-06,2021-10-27,2757.37,5706.59,106.96,204.0,,signal,
MPHASIS.NS,2021-06-17,2021-11-24,1879.12,3042.94,61.93,160.0,,signal,
CANBK.NS,2021-11-01,2021-11-24,37.59,37.97,1.0,23.0,,signal,
PERSISTENT.NS,2021-07-26,2021-11-29,1467.24,1835.9,25.13,126.0,,signal,
CGPOWER.NS,2021-10-22,2021-11-30,142.99,144.23,0.86,39.0,,signal,
TRIDENT.NS,2021-10-20,2022-02-11,39.77,54.37,36.73,114.0,,signal,
CGPOWER.NS,2022-08-04,2022-08-30,231.85,221.72,-4.37,26.0,,signal,
BLUEDART.NS,2022-08-01,2022-09-01,8532.75,8449.65,-0.97,31.0,,signal,
SCHAEFFLER.NS,2022-08-01,2022-09-27,2700.06,3140.5,16.31,57.0,,signal,
ATGL.NS,2022-08-30,2022-09-27,3546.38,3367.61,-5.04,28.0,,signal,
NHPC.NS,2022-08-03,2022-09-28,31.79,32.79,3.14,56.0,,signal,
TVSMOTOR.NS,2022-08-01,2022-09-30,894.03,994.46,11.23,60.0,,signal,
INDHOTEL.NS,2022-09-01,2022-10-17,282.27,305.37,8.18,46.0,,signal,
FLUOROCHEM.NS,2022-09-29,2022-10-21,3904.52,3764.79,-3.58,22.0,,signal,
ZFCVINDIA.NS,2022-10-13,2022-10-21,10761.57,10139.7,-5.78,8.0,,signal,
ABFRL.NS,2022-11-01,2022-11-09,357.65,322.1,-9.94,8.0,,stop_loss,
NHPC.NS,2022-10-19,2022-11-21,37.96,37.64,-0.83,33.0,,signal,
FEDERALBNK.NS,2022-10-17,2022-11-22,129.46,130.34,0.68,36.0,,signal,
SKFINDIA.NS,2022-11-10,2022-12-01,4652.09,4615.16,-0.79,21.0,,signal,
INDIANB.NS,2022-10-19,2022-12-13,199.84,251.53,25.87,55.0,,signal,
TIMKEN.NS,2022-11-18,2022-12-19,3509.93,3279.22,-6.57,31.0,,signal,
UNIONBANK.NS,2022-11-21,2022-12-23,67.32,68.37,1.56,32.0,,signal,
BANKINDIA.NS,2022-11-23,2022-12-23,74.39,75.4,1.36,30.0,,signal,
PNB.NS,2022-12-14,2022-12-23,57.32,50.54,-11.83,9.0,,signal,
PFC.NS,2022-12-08,2022-12-26,97.86,90.29,-7.74,18.0,,signal,
GICRE.NS,2023-01-05,2023-01-23,185.2,160.07,-13.57,18.0,,signal,
SOLARINDS.NS,2023-01-02,2023-01-24,4432.91,4070.84,-8.17,22.0,,signal,
PNB.NS,2023-01-17,2023-01-27,56.14,50.97,-9.21,10.0,,signal,
PFC.NS,2023-01-03,2023-01-30,103.41,93.51,-9.58,27.0,,signal,
NHPC.NS,2023-01-18,2023-02-06,36.88,37.06,0.49,19.0,,signal,
INDIANB.NS,2023-02-01,2023-02-09,282.98,267.26,-5.56,8.0,,signal,
RAJESHEXPO.NS,2023-02-06,2023-02-15,947.0,788.35,-16.75,9.0,,signal,
AIAENG.NS,2023-01-31,2023-02-24,2645.59,2652.5,0.26,24.0,,signal,
APLAPOLLO.NS,2023-02-16,2023-03-10,1217.39,1189.68,-2.28,22.0,,signal,
PERSISTENT.NS,2023-02-21,2023-03-13,2491.86,2336.76,-6.22,20.0,,signal,
POLYCAB.NS,2023-02-01,2023-03-14,2902.67,2839.68,-2.17,41.0,,signal,
SUPREMEIND.NS,2023-01-30,2023-03-15,2488.56,2483.23,-0.21,44.0,,signal,
ABCAPITAL.NS,2023-03-02,2023-03-15,152.5,146.4,-4.0,13.0,,signal,
LINDEINDIA.NS,2023-03-10,2023-03-16,4000.87,3657.76,-8.58,6.0,,signal,
MAXHEALTH.NS,2023-04-13,2023-04-25,476.83,444.97,-6.68,12.0,,signal,
INDIANB.NS,2023-04-18,2023-05-11,288.53,265.96,-7.82,23.0,,signal,
BANKINDIA.NS,2023-05-02,2023-05-11,77.88,72.46,-6.96,9.0,,signal,
